# plants
 --> 25 mordite ; factory: plant
 --> 50 fungal mould ; factory: plant
 --> 25 faecium ; factory: plant
 --> 50 gamma root ; factory: plant
 --> 50 frost crystal ; factory: plant
 --> 25 star bulb ; factory: plant
 --> 50 cactus flesh ; factory: plant
 --> 50 solanium ; factory: plant

# gases
 --> 250 sulphurine ; factory: gas
 --> 250 nitrogen ; factory: gas
 --> 250 radon ; factory: gas
 --> 250 oxygen ; factory: gas
 --> 250 dioxite ; factory: gas

# materials
2 oxygen --> 5 condensed carbon ; factory: refiner
 --> 1 ionised cobalt ; factory: mining
 --> 1 pure ferrite ; factory: mining
 --> 1 paraffinum ; factory: mining
 --> 1 uranium ; factory: mining
 --> 1 phosphorus ; factory: mining
 --> 1 pyrite ; factory: mining
 --> 1 ammonia ; factory: mining


# plant based trading items
25 mordite + 600 fungal mould --> 1 acid ; factory: hand
50 faecium + 400 gamma root --> 1 lubricant ; factory: hand
200 cactus flesh --> 1 unstable gel ; factory: hand
40 frost crystal --> 1 glass ; factory: hand
100 cactus flesh + 200 star bulb --> 1 poly fibre ; factory: hand
1 acid + 1 unstable gel --> 1 liquid explosive ; factory: hand
1 lubricant + 5 glass --> 1 living glass ; factory: hand
100 frost crystal + 200 solanium --> 1 heat capacitor ; factory: hand
1 heat capacitor + 1 poly fibre --> 1 circuit board ; factory: hand

# gas based trading items
250 sulphurine + 50 condensed carbon --> 1 thermic condensate ; factory: hand
250 radon + 50 condensed carbon --> 1 enriched carbon ; factory: hand
250 nitrogen + 50 condensed carbon --> 1 nitrogen salt ; factory: hand
thermic condensate + 1 enriched carbon --> 1 organic catalyst ; factory: hand
1 thermic condensate + 1 nitrogen salt --> 1 semiconductor ; factory: hand
1 enriched carbon + 1 nitrogen salt --> 1 hot ice ; factory: hand
1 organic catalyst + 1 nitrogen salt --> 1 fusion accelerant ; factory: hand
1 semiconductor + 1 enriched carbon --> 1 superconductor ; factory: hand
1 hot ice + 1 thermic condensate --> 1 cryo pump ; factory: hand

# element based trading items
50 paraffinum + 50 ionised cobalt --> 1 aronium ; factory: hand
50 pyrite + 100 pure ferrite --> 1 dirty bronze ; factory: hand
50 ammonia + 50 ionised cobalt --> 1 herox ; factory: hand
50 uranium + 100 pure ferrite --> 1 lemmium ; factory: hand
50 phosphorus + 50 ionised cobalt --> 1 magno gold ; factory: hand
50 dioxite + 50 ionised cobalt --> 1 gratine ; factory: hand
1 aronium + 1 magno gold + 1 gratine --> 1 iridesite ; factory: hand
1 dirty bronze + 1 herox + 1 lemmium --> 1 geodesite ; factory: hand

# high level
1 liquid explosive + 1 fusion accelerant --> 1 portable reactor ; factory: hand
1 circuit board + 1 superconductor --> 1 quantum processor ; factory: hand
1 living glass + 1 cryo pump --> 1 cryogenic chamber ; factory: hand
1 portable reactor + 1 quantum processor + 1 geodesite --> 1 fusion ignitor ; factory: hand
1 quantum processor + 1 cryogenic chamber + 1 iridesite --> 1 stasis device ; factory: hand

